,User_id,Activity_Time,Brightness,Light,Activity_Time_2H,Brightness_2H,Light_2H,Awake,Light_Sleep,Deep_Sleep,REM,Total_Minutes,Start_Sleep_Day,Start_Sleep_Month,Start_Sleep_Hour,Start_Sleep_Minute,End_Sleep_Day,End_Sleep_Month,End_Sleep_Hour,End_Sleep_Minute,Sleep quality
0,1,114,38.0,18.0,39,57.5,31.5,4,99,220,60,379,25,4,3,9,25,4,9,32,1.5
1,1,143,48.0,14.0,69,26.0,1.0,0,355,87,0,442,27,4,0,53,27,4,8,15,3.0
2,1,145,46.5,3.5,68,41.0,14.0,0,435,22,0,457,28,4,2,49,28,4,10,26,4.0
3,1,317,41.0,10.0,6,46.0,15.0,25,542,92,0,634,29,4,3,5,29,4,14,4,2.5
4,1,64,54.0,1.0,30,41.0,0.0,0,301,90,0,391,30,4,3,48,30,4,10,19,4.0
5,1,151,44.0,9.0,48,29.0,5.0,0,298,95,0,393,2,5,1,45,2,5,8,21,3.0
6,2,100,694.0,4.995000123977661,99,694.0,8.707500219345093,12,152,200,53,406,25,4,2,26,25,4,9,25,3.0
7,2,104,924.0,12.55500030517578,52,924.0,19.372501373291016,12,108,205,52,366,26,4,1,51,26,4,8,10,3.0
8,2,41,1362.0,9.382500648498535,38,1362.0,11.7787504196167,26,241,374,81,698,26,4,22,20,27,4,10,25,4.0
9,2,34,22.0,0.0,33,22.0,0.0,0,265,48,43,356,30,4,3,23,30,4,9,19,2.5
10,2,136,963.0,6.4800004959106445,103,771.0,4.522500276565552,2,338,46,56,440,1,5,1,36,1,5,8,58,3.0
11,2,78,823.0,0.0,66,515.0,0.0,0,364,20,56,440,2,5,0,53,2,5,8,13,3.0
12,2,82,903.0,10.9350004196167,59,903.0,7.087500095367432,0,303,93,50,446,3,5,0,4,3,5,8,13,3.5
13,3,50,33.0,25.0,21,33.0,25.5,4,259,44,146,449,25,4,1,53,25,4,9,26,3.0
14,3,29,40.0,2.5,27,67.0,43.0,2,339,68,77,484,25,4,22,57,26,4,7,3,3.0
15,3,15,50.5,0.0,14,62.0,0.0,1,409,80,105,594,26,4,21,52,27,4,7,47,4.0
16,3,74,68.0,43.5,74,68.0,48.0,0,297,57,48,402,28,4,0,20,28,4,7,2,3.0
17,3,36,66.0,24.0,2,65.0,26.0,0,98,12,12,122,29,4,2,33,29,4,4,35,3.0
18,3,568,49.0,3.0,39,39.0,39.0,0,317,104,91,512,30,4,1,57,30,4,10,29,2.0
19,3,3,52.0,9.0,3,52.0,9.0,0,391,8,86,485,1,5,0,51,1,5,8,56,2.5
20,3,143,49.0,3.0,96,55.0,21.5,0,404,65,118,587,2,5,0,5,2,5,9,59,3.0
