,Activity_Time,Brightness,Light,End_Time,Activity_Time(last 2 hours),Start_SleepTime,Brightness(last 2 hours),Light(last 2 hours),Sleep quality
1,0 days 01:40:57.265000,694.0,4.995000123977661,2022-04-25 10:00:43.639000+01:00,0 days 01:39:02.907000,2022-04-25 02:26:16,694.0,8.707500219345093,3.0
2,0 days 01:44:25.090000,924.0,12.555000305175781,2022-04-26 08:11:20.498000+01:00,0 days 00:52:32.315000,2022-04-26 01:51:39,924.0,19.372501373291016,3.0
3,0 days 00:41:05.381000,1362.0,9.382500648498535,2022-04-27 10:30:24.557000+01:00,0 days 00:38:46.378000,2022-04-26 22:20:26,1362.0,11.7787504196167,4.0
4,0 days 02:39:34.750000,1113.0,11.947500228881836,2022-04-28 11:26:27.986000+01:00,0 days 00:00:00,,,,4.0
5,0 days 02:12:32.239000,1251.0,17.415000915527344,2022-04-29 17:34:44.983000+01:00,0 days 00:00:00,,,,4.0
6,0 days 00:34:12.377000,22.0,0.0,2022-04-30 09:16:03.080000+01:00,0 days 00:33:57.480000,2022-04-30 03:23:00,22.0,0.0,2.5
7,0 days 02:16:06.197000,963.0,6.4800004959106445,2022-05-01 14:27:03.313000+01:00,0 days 01:43:24.723000,2022-05-01 01:36:00,771.0,4.522500276565552,3.0
8,0 days 01:18:05.042000,823.0,0.0,2022-05-02 08:41:32.438000+01:00,0 days 01:06:56.460000,2022-05-02 00:53:00,515.0,0.0,3.0
9,0 days 01:22:09.536000,903.0,10.9350004196167,2022-05-03 10:43:24.123000+01:00,0 days 00:59:32.633000,2022-05-03 00:04:00,903.0,7.087500095367432,3.5
10,0 days 00:48:25.019000,819.0,5.46750020980835,2022-05-04 09:52:32.212000+01:00,0 days 00:28:51.692000,2022-05-04 01:35:00,819.0,4.184999942779541,4.0
11,0 days 01:01:38.088000,1427.0,33.716251373291016,2022-05-05 11:52:37.464000+01:00,0 days 00:29:59.880000,2022-05-05 02:23:00,1427.0,9.65250015258789,4.5
12,0 days 03:04:14.377000,1194.0,19.71000099182129,2022-05-06 13:49:32.520000+01:00,0 days 01:27:03.765000,2022-05-06 05:58:00,804.0,27.0,2.5
13,0 days 02:56:12.050000,963.0,2.9025001525878906,2022-05-08 13:13:24.225000+01:00,0 days 01:49:37.315000,2022-05-08 02:21:00,22.0,0.0,5.0
14,0 days 02:42:57.179000,704.0,8.538750171661377,2022-05-09 09:30:47.736000+01:00,0 days 00:00:00,,,,2.0
