,Start_SleepTime,End_SleepTime,Awake,Sleep,Out_Of_Bed,Light_Sleep,Deep_Sleep,REM,Total_Hours
1,2022-04-25 03:09:14,2022-04-25 09:32:35,0 days 00:04:21,0 days,0 days,0 days 01:39:00,0 days 03:40:00,0 days 01:00:00,0 days 06:19:00
2,2022-04-27 00:53:00,2022-04-27 08:15:00,0 days 00:00:00,0 days,0 days,0 days 05:55:00,0 days 01:27:00,0 days 00:00:00,0 days 07:22:00
3,2022-04-28 02:49:00,2022-04-28 10:26:00,0 days 00:00:00,0 days,0 days,0 days 07:15:00,0 days 00:22:00,0 days 00:00:00,0 days 07:37:00
4,2022-04-29 03:05:00,2022-04-29 14:04:00,0 days 00:25:00,0 days,0 days,0 days 09:02:00,0 days 01:32:00,0 days 00:00:00,0 days 10:34:00
5,2022-04-30 03:48:00,2022-04-30 10:19:00,0 days 00:00:00,0 days,0 days,0 days 05:01:00,0 days 01:30:00,0 days 00:00:00,0 days 06:31:00
6,2022-05-02 01:45:00,2022-05-02 08:21:00,0 days 00:00:00,0 days,0 days,0 days 05:01:00,0 days 01:35:00,0 days 00:00:00,0 days 06:36:00
7,2022-05-02 23:59:00,2022-05-03 08:10:00,0 days 00:02:00,0 days,0 days,0 days 06:45:00,0 days 01:24:00,0 days 00:00:00,0 days 08:09:00
8,2022-05-04 02:17:00,2022-05-04 09:51:00,0 days 00:00:00,0 days,0 days,0 days 06:11:00,0 days 01:23:00,0 days 00:00:00,0 days 07:34:00
9,2022-05-05 02:28:00,2022-05-05 10:44:00,0 days 00:00:00,0 days,0 days,0 days 05:54:00,0 days 01:42:00,0 days 00:00:00,0 days 07:36:00
